Sector,Sentence,Impact,Direction
BANKING,"5 Kharba 96 Arba, indicating a deficit.",0.2676997731459127,Positive
BANKING,"*   It is 2.72 percent in May 2082, showing a decreasing trend for the past six months.",0.26324793202996116,Positive
BANKING,"99 Arba 20 Crore were mobilized, totaling Rs.",0.23644044501900535,Positive
BANKING,"*   In the previous fiscal year, a net liquidity of Rs.",0.23188080890297752,Positive
BANKING,"*   Similarly, development banks had invested 26.4 percent (Rs.",0.22981786234497886,Positive
BANKING,"*   After updating details in one bank, necessary bodies will be facilitated to obtain them electronically.",-0.26621312396407265,Negative
BANKING,"* It is expected that the implementation of this monetary policy will contribute to price and external sector stability and promote overall economic stability, make financial intermediation effective, increase financial inclusion, make the payment system more modern, secure, and reliable, and help achieve the economic targets set by the Nepal",-0.23823655145049233,Negative
BANKING,"*   In line with the maintenance of financial stability, the monetary policy measures and prudent regulatory arrangements have been harmonized to increase loan access and quality, and to reduce loan concentration.",-0.23148394124388832,Negative
BANKING,"*   Foreign exchange reserves have increased due to increased remittance inflows, foreign tourist arrivals, and exports.",-0.19620624678015847,Negative
BANKING,"*   Secondary income, mainly remittances, contributed Rs.",-0.1959719409215464,Negative
DEVBANK,"*   It is 2.72 percent in May 2082, showing a decreasing trend for the past six months.",0.259754100887591,Positive
DEVBANK,"*   As of Chaitra 2081, 5.6 percent (Rs.",0.2461787556098047,Positive
DEVBANK,"99 Arba 20 Crore were mobilized, totaling Rs.",0.243567565529162,Positive
DEVBANK,"*   In the previous fiscal year, a net liquidity of Rs.",0.2415749822543207,Positive
DEVBANK,"*   Similarly, development banks had invested 26.4 percent (Rs.",0.24005333527784975,Positive
DEVBANK,"*   After updating details in one bank, necessary bodies will be facilitated to obtain them electronically.",-0.29437892690438594,Negative
DEVBANK,"*   In line with the maintenance of financial stability, the monetary policy measures and prudent regulatory arrangements have been harmonized to increase loan access and quality, and to reduce loan concentration.",-0.22369705692071287,Negative
DEVBANK,"* It is expected that the implementation of this monetary policy will contribute to price and external sector stability and promote overall economic stability, make financial intermediation effective, increase financial inclusion, make the payment system more modern, secure, and reliable, and help achieve the economic targets set by the Nepal",-0.22065197482842772,Negative
DEVBANK,"10 Lakh by self-appraising the collateral of agricultural crops, cultivable land, and agricultural business structures.",-0.21349190727013914,Negative
DEVBANK,"36,947.9 Crore and Development Bonds to Rs.",-0.20546536699075071,Negative
FINANCE,"*   It is 2.72 percent in May 2082, showing a decreasing trend for the past six months.",0.2901022795062968,Positive
FINANCE,"*   As of Chaitra 2081, 5.6 percent (Rs.",0.2892786029201457,Positive
FINANCE,"*   In the previous fiscal year, a net liquidity of Rs.",0.2839839521270701,Positive
FINANCE,"5 Kharba 96 Arba, indicating a deficit.",0.26551542314109294,Positive
FINANCE,"*   In FY 2081/82, a total of Rs.",0.2520401242595622,Positive
FINANCE,"* It is expected that the implementation of this monetary policy will contribute to price and external sector stability and promote overall economic stability, make financial intermediation effective, increase financial inclusion, make the payment system more modern, secure, and reliable, and help achieve the economic targets set by the Nepal",-0.2432020541805318,Negative
FINANCE,"*   In line with the maintenance of financial stability, the monetary policy measures and prudent regulatory arrangements have been harmonized to increase loan access and quality, and to reduce loan concentration.",-0.23293756810608418,Negative
FINANCE,"*   After updating details in one bank, necessary bodies will be facilitated to obtain them electronically.",-0.22770362464371235,Negative
FINANCE,"10 Lakh by self-appraising the collateral of agricultural crops, cultivable land, and agricultural business structures.",-0.21119146911087544,Negative
FINANCE,"*   In the first eleven months of fiscal year 2081/82, total foreign exchange reserves increased by 25.9 percent to Rs.",-0.1877659198421529,Negative
HOTELS,"*   It is 2.72 percent in May 2082, showing a decreasing trend for the past six months.",0.33634184428230446,Positive
HOTELS,"*   Similarly, development banks had invested 26.4 percent (Rs.",0.28247667976394814,Positive
HOTELS,"*   As of Chaitra 2081, 5.6 percent (Rs.",0.27024276681915443,Positive
HOTELS,"*   In the previous fiscal year, a net liquidity of Rs.",0.2553541226007096,Positive
HOTELS,"99 Arba 20 Crore were mobilized, totaling Rs.",0.24699889250770726,Positive
HOTELS,"10 Lakh by self-appraising the collateral of agricultural crops, cultivable land, and agricultural business structures.",-0.2577468293093093,Negative
HOTELS,"*   After updating details in one bank, necessary bodies will be facilitated to obtain them electronically.",-0.2407447533987411,Negative
HOTELS,"* To promote industry and business in areas around the Postal Highway and Mid-Hill Highway by having a food hygiene standardization logo (symbol) from the Food Technology and Quality Control Department for hotels and restaurants, and businesses near major markets on highways/roadsides, the following arrangements will be made for loans",-0.2372359769724258,Negative
HOTELS,"*   In line with the maintenance of financial stability, the monetary policy measures and prudent regulatory arrangements have been harmonized to increase loan access and quality, and to reduce loan concentration.",-0.23157949618324122,Negative
HOTELS,"* It is expected that the implementation of this monetary policy will contribute to price and external sector stability and promote overall economic stability, make financial intermediation effective, increase financial inclusion, make the payment system more modern, secure, and reliable, and help achieve the economic targets set by the Nepal",-0.2255661623857864,Negative
HYDROPOWER,"5 Kharba 96 Arba, indicating a deficit.",0.3055566191311934,Positive
HYDROPOWER,"*   It is 2.72 percent in May 2082, showing a decreasing trend for the past six months.",0.2668410181637862,Positive
HYDROPOWER,"99 Arba 20 Crore were mobilized, totaling Rs.",0.24235808249674823,Positive
HYDROPOWER,"*   As of Chaitra 2081, 5.6 percent (Rs.",0.2413481711979964,Positive
HYDROPOWER,307 Arba 31 Crore.,0.23945766087733295,Positive
HYDROPOWER,"*   After updating details in one bank, necessary bodies will be facilitated to obtain them electronically.",-0.2519418955210588,Negative
HYDROPOWER,"*   In line with the maintenance of financial stability, the monetary policy measures and prudent regulatory arrangements have been harmonized to increase loan access and quality, and to reduce loan concentration.",-0.20529783371724103,Negative
HYDROPOWER,"*   In the first eleven months of fiscal year 2081/82, total foreign exchange reserves increased by 25.9 percent to Rs.",-0.20047528151310895,Negative
HYDROPOWER,"* To promote industry and business in areas around the Postal Highway and Mid-Hill Highway by having a food hygiene standardization logo (symbol) from the Food Technology and Quality Control Department for hotels and restaurants, and businesses near major markets on highways/roadsides, the following arrangements will be made for loans",-0.19846818450726483,Negative
HYDROPOWER,"*   Foreign exchange reserves have increased due to increased remittance inflows, foreign tourist arrivals, and exports.",-0.1916870534781358,Negative
