FY, PublishedDate
2003-4, 15 July 2003
2004-5, 19 July 2004
2005-6, 22 July 2005
2006-7, 23 July 2006
2007-8, 23 July 2007
2008-9, 29 September 2008
2009-10, 24 July 2009
2010-11, 28 July 2010
2011-12, 21 July 2011
2012-13, 25 July 2012
2013-14, 21 July 2013
2014-15, 18 July 2014
2015-16, 23 July 2015
2016-17, 14 July 2016
2017-18, 15 July 2017
2018-19, 11 July 2018
2019-20, 24 July 2019
2020-21, 17 July 2020
2021-22, 13 August 2021
2022-23, 22 July 2022
2023-24, 23 July 2023
2024-25, 26 July 2024
